Year,TEAM,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
2024,Bulls,41,"845,620","20,624",--,41,"18,379",4186.3,82,"19,501",8884.2
2024,Mavericks,41,"828,897","20,217",--,41,"18,299",4168.3,82,"19,258",8773.3
2024,76ers,41,"821,714","20,041",--,41,"18,395",4190.1,82,"19,218",8755.2
2024,Heat,41,"809,743","19,749",--,41,"18,392",4189.3,82,"19,071",8687.9
2024,NY Knicks,41,"808,885","19,728",--,41,"18,620",4241.2,82,"19,174",8735.1
2024,Nuggets,41,"807,062","19,684",--,41,"18,211",1382.7,82,"18,948",2877.3
2024,Raptors,41,"800,129","19,515",--,41,"17,993",4098.6,82,"18,754",8543.7
2024,Lakers,42,"793,945","18,903",--,40,"18,673",2074.8,82,"18,791",4280.2
2024,Cavaliers,41,"793,167","19,345",--,41,"18,378",4186.3,82,"18,862",8592.7
2024,Celtics,41,"785,396","19,156",--,41,"18,743",4269.2,82,"18,949",8632.6
2024,Clippers,41,"776,782","18,945",105.3,41,"18,431",--,82,"18,688",207.7
2024,Magic,41,"773,939","18,876",--,41,"18,105",4124.1,82,"18,491",8423.7
2024,Trail Blazers,41,"751,395","18,326",--,41,"17,987",2048.5,82,"18,156",4135.8
2024,Jazz,41,"746,446","18,206",--,41,"17,986",2048.5,82,"18,096",4121.9
2024,Spurs,41,"742,522","18,110",--,41,"18,386",4188.0,82,"18,248",8313.1
2024,Bucks,42,"740,885","17,640",--,40,"18,664",4147.6,82,"18,139",8263.6
2024,Warriors,41,"740,624","18,064",--,41,"18,720",2132.0,82,"18,392",4189.3
2024,Timberwolves,41,"738,984","18,024",--,41,"18,185",2071.1,82,"18,104",4123.9
2024,Kings,41,"735,015","17,927",--,41,"17,921",2041.1,82,"17,924",4082.8
2024,Pistons,40,"726,378","18,159",--,42,"18,316",4274.0,82,"18,240",8309.4
2024,Nets,41,"720,291","17,568",--,41,"18,156",4135.7,82,"17,862",8137.4
2024,Rockets,41,"720,045","17,562",--,41,"18,170",2069.4,82,"17,866",4069.6
2024,Thunder,41,"715,509","17,451",--,41,"18,404",4192.1,82,"17,927",8167.2
2024,Suns,41,"699,911","17,071",--,41,"18,582",2116.3,82,"17,826",4060.5
2024,Hawks,41,"696,418","16,985",--,41,"18,416",4194.9,82,"17,701",8063.9
2024,Wizards,41,"692,851","16,898",--,41,"18,190",4143.4,82,"17,544",7992.5
2024,Pelicans,40,"692,054","17,301",--,42,"18,193",2122.5,82,"17,758",4044.9
2024,Grizzlies,41,"681,875","16,631",--,41,"18,182",2070.8,82,"17,406",3964.9
2024,Pacers,41,"677,554","16,525",--,41,"18,380",4186.7,82,"17,453",7950.8
2024,Hornets,41,"674,400","16,448",--,41,"18,268",4161.2,82,"17,358",7907.8
2023,Bulls,41,"841,632","20,527",--,41,"18,243",4155.5,82,"19,385",8831.3
2023,76ers,41,"839,261","20,469",--,41,"17,910",4079.7,82,"19,190",8742.3
2023,Mavericks,41,"827,282","20,177",--,41,"18,138",2065.8,82,"19,158",4363.8
2023,Raptors,41,"811,261","19,786",--,41,"17,755",4044.4,82,"18,771",8551.4
2023,Heat,41,"807,190","19,687",--,41,"18,369",4184.1,82,"19,028",8668.4
2023,NY Knicks,41,"795,110","19,392",--,41,"18,467",4206.5,82,"18,930",8623.8
2023,Nuggets,41,"788,635","19,235",--,41,"17,628",2007.6,82,"18,431",4198.3
2023,Cavaliers,41,"777,280","19,432",--,41,"18,093",4121.2,82,"18,754",8439.5
2023,Trail Blazers,41,"767,374","18,716",--,41,"17,786",3952.6,82,"18,257",8215.8
2023,Celtics,41,"766,240","19,156",--,41,"18,830",4289.3,82,"18,991",8546.1
2023,Lakers,41,"763,168","18,613",--,41,"18,777",2138.5,82,"18,695",4258.5
2023,Pistons,41,"759,715","18,529",--,41,"17,866",4069.5,82,"18,197",8290.1
2023,Warriors,41,"740,624","18,064",--,41,"19,772",2196.9,82,"18,907",4254.2
2023,Magic,41,"728,405","17,765",--,41,"18,013",4003.0,82,"17,888",8049.7
2023,Jazz,41,"728,240","18,206",--,41,"17,881",2036.5,82,"18,041",4059.4
2023,Nets,41,"724,439","17,669",--,41,"18,312",4171.1,82,"17,990",8195.8
2023,Clippers,41,"720,543","17,574",97.6,41,"17,625",--,82,"17,599",195.6
2023,Hawks,41,"719,787","17,555",--,41,"18,053",4112.1,82,"17,804",8110.9
2023,Bucks,41,"718,786","17,531",--,41,"18,296",4167.4,82,"17,913",8160.7
2023,Kings,41,"715,491","17,451",--,41,"17,534",1996.9,82,"17,492",3984.4
2023,Wizards,41,"710,481","17,328",--,41,"17,753",4043.9,82,"17,541",7991.0
2023,Grizzlies,41,"707,836","17,264",--,41,"18,162",4137.0,82,"17,713",8069.5
2023,Hornets,41,"702,052","17,123",--,41,"18,032",4107.5,82,"17,578",8007.8
2023,Spurs,41,"694,434","16,937",--,41,"17,649",2010.1,82,"17,293",3939.1
2023,Pelicans,41,"687,691","16,772",--,41,"18,021",2052.5,82,"17,397",3962.7
2023,Timberwolves,41,"687,510","16,768",--,41,"17,499",1993.0,82,"17,133",3902.7
2023,Suns,41,"682,840","17,071",--,41,"18,294",2083.5,82,"17,690",3980.3
2023,Rockets,41,"668,865","16,313",--,41,"17,677",2013.3,82,"16,995",3871.2
2023,Pacers,41,"641,562","15,647",--,41,"17,900",4077.4,82,"16,774",7641.7
2023,Thunder,41,"636,903","15,534",--,41,"17,948",1994.3,82,"16,726",3763.4
2022,Bulls,41,"856,148","20,881",--,41,"18,198",4044.2,82,"19,556",8800.6
2022,76ers,41,"846,867","20,655",--,41,"16,589",3778.8,82,"18,622",8483.6
2022,Mavericks,41,"809,315","19,739",--,41,"17,092",1946.6,82,"18,415",4194.7
2022,Heat,41,"804,761","19,628",--,41,"17,294",3843.3,82,"18,476",8314.2
2022,Celtics,41,"766,240","19,156",--,41,"17,583",4005.2,82,"18,360",8262.1
